category,item_id,param_name,param_value,mean_auc,train_time,n_targets
high_volume_consumables,2,depth,3.0,0.7788354661635223,38.17300724983215,36
high_volume_consumables,2,depth,4.0,0.7326005984103848,40.48206663131714,36
high_volume_consumables,2,depth,5.0,0.759376553914409,50.48322033882141,36
high_volume_consumables,2,depth,6.0,0.7466879444621902,71.07520151138306,36
high_volume_consumables,2,depth,7.0,0.7526137738204262,107.95766115188599,36
high_volume_consumables,2,depth,8.0,0.7245050796547291,188.3479459285736,36
high_volume_consumables,561,depth,3.0,0.8109704634358667,47.10673809051514,36
high_volume_consumables,561,depth,4.0,0.7855493062689664,48.39539575576782,36
high_volume_consumables,561,depth,5.0,0.7721509654246344,67.3527102470398,36
high_volume_consumables,561,depth,6.0,0.8036359894274062,96.5014066696167,36
high_volume_consumables,561,depth,7.0,0.7992670599191106,153.26102566719055,36
high_volume_consumables,561,depth,8.0,0.7778558626693495,266.52731919288635,36
high_volume_consumables,560,depth,3.0,0.5838937359683143,33.124441385269165,36
high_volume_consumables,560,depth,4.0,0.5613457611103774,36.22589731216431,36
high_volume_consumables,560,depth,5.0,0.5609975751188213,46.08563995361328,36
high_volume_consumables,560,depth,6.0,0.5602754944214884,65.02819204330444,36
high_volume_consumables,560,depth,7.0,0.5610256942811785,100.8716185092926,36
high_volume_consumables,560,depth,8.0,0.5415982216095715,173.36911845207214,36
high_volume_consumables,562,depth,3.0,0.5888217665779522,33.29533934593201,36
high_volume_consumables,562,depth,4.0,0.5992342540753595,40.62616181373596,36
high_volume_consumables,562,depth,5.0,0.59397849889263,54.724090576171875,36
high_volume_consumables,562,depth,6.0,0.613107875722851,78.5165946483612,36
high_volume_consumables,562,depth,7.0,0.6460302661180648,134.2412030696869,36
high_volume_consumables,562,depth,8.0,0.6461377052118069,245.57203269004822,36
high_volume_consumables,2,learning_rate,0.05,0.7536253173230093,51.338947057724,36
high_volume_consumables,2,learning_rate,0.1,0.7282644340357346,41.56761813163757,36
high_volume_consumables,2,learning_rate,0.15,0.7205219796928408,36.52372217178345,36
high_volume_consumables,2,learning_rate,0.2,0.6903738929487518,34.81142282485962,36
high_volume_consumables,561,learning_rate,0.05,0.8084759852774492,75.11586999893188,36
high_volume_consumables,561,learning_rate,0.1,0.7828478330984104,49.856231689453125,36
high_volume_consumables,561,learning_rate,0.15,0.7896577079306397,44.21654915809631,36
high_volume_consumables,561,learning_rate,0.2,0.7858678421266606,38.353355407714844,36
high_volume_consumables,560,learning_rate,0.05,0.535523951261749,43.89089107513428,36
high_volume_consumables,560,learning_rate,0.1,0.55243595824344,37.62580394744873,36
high_volume_consumables,560,learning_rate,0.15,0.5615811754624529,34.11863303184509,36
high_volume_consumables,560,learning_rate,0.2,0.5657092450091317,32.96688675880432,36
high_volume_consumables,562,learning_rate,0.05,0.5805450541978434,45.63565015792847,36
high_volume_consumables,562,learning_rate,0.1,0.5960714644114272,40.272539377212524,36
high_volume_consumables,562,learning_rate,0.15,0.6082688008798645,38.530762910842896,36
